All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturated,Insaturated,Acids,Bases,Alcohols,Aminoderivatives,Amides,Aldehydes,Carbohydrates,Amino acids,Alkaloids
abietic acid,abietic acid,Dotriacontane,"Dotriacontane is a type of hydrocarbon that is part of alkanes, a category of molecules that only contain carbon and hydrogen with single bonds, making them quite stable and non-reactive. This specific compound has a long chain of 32 carbon atoms, and is solid at room temperature due to its large size and linear structure.

Due to its water insolubility and hydrophobic nature, dotriacontane is commonly found in the wax that covers the leaves of many plants, contributing to their ability to repel water. This property is crucial for plants, as it prevents excessive water loss and protects leaves from microbial infections and the accumulation of dust and dirt particles. In addition, due to its characteristics, dotriacontane is also being explored for use in coatings and emulsions in various industrial applications, where it seeks to take advantage of its ability to form protective barriers against humidity and other external elements.",,,,,gluconic acid lactonel,,,,,,,,
1-Monopalmitin,1-Monopalmitin,Eicosane,"Eicosane is a type of saturated hydrocarbon consisting of a linear chain of 20 carbon atoms and 42 hydrogen atoms. At room temperature, it appears as a solid, colorless substance. This compound is known to be the smallest straight-chain hydrocarbon found in natural waxes.

Due to its structure and composition, eicosane has hydrophobic properties, meaning it repels water. This characteristic makes it valuable in various applications, especially in the manufacture of waxes used in protective coatings as well as waterproofing products. Waxes containing eicosane are used to protect surfaces against humidity and corrosion, which are found in products such as cosmetics and creams to wood coatings and textiles. Eicosane's ability to form a solid barrier also makes it useful in the packaging industry, providing a protective layer that helps preserve the quality and integrity of food and other environmentally sensitive products.",,,,,Glyceric acid,,,,,,,,
1-Octacosanol,1-Octacosanol,Ethanolamine,"Ethanolamine is a multifunctional organic compound that acts as both a primary alcohol and a primary amine, allowing it to behave as a weak base. This chemical compound is liquid at room temperature and mixes easily with water, facilitating its use in numerous industrial and chemical applications.

In the industrial context, ethanolamine is essential for alkalizing water in water treatments, helping to adjust and maintain pH in boiler and cooling tower systems to prevent corrosion. Additionally, this compound plays a vital role in the manufacture of detergents and cosmetics, where it acts as an emulsifier and thickening agent, improving the texture and effectiveness of these products. The versatility of ethanolamine in reacting with both acids and bases makes it an indispensable component in the chemical industry..",,,,,Gulonic acid,,,,,,,,
Tris(trimethylsilyl)carbamate,Tris(trimethylsilyl)carbamate,Ethyl .alpha.-D-glucopyranoside,"Glucopyranose is a cyclic form of glucose, which is a type of simple sugar essential for energy in many living organisms. In this structure, the carbon atoms of glucose join together to form a ring, specifically a six-membered ring that includes an oxygen atom, which classifies it within the group of sugars known as pyranoses. This type of structure is common in carbohydrates and is crucial for their biological function.

In plants, glucopyranose not only serves as a vital energy source but is also a structural component in the formation of cellulose and starch, which are essential for cell wall construction and energy storage, respectively. Furthermore, due to its solubility and stability, glucopyranose has numerous applications in the food industry, where it is used as a sweetener and stabilizer in products such as beverages, sweets and preserves. Its presence is vital in the metabolism of all living beings, facilitating fundamental energetic and structural processes.",,,,,HeptadecanoicAcid,,,,,,,,
Pyruvic Acid,Pyruvic Acid,Ethylphosphonic acid,"Ethylphosphonic acid is a type of organophosphorus compound characterized by having a phosphorus atom in the center of its structure, surrounded by an ethyl group (a two-carbon chain), two hydroxyl groups and an oxygen linked by a double bond. This structure gives it unique chemical properties, especially with regard to its reactivity and solubility.

In practice, ethylphosphonic acid is used in various fields due to its fungicidal properties and as a source of phosphorus in fertilizers. In plant metabolism, compounds such as ethylphosphonic acid can play a role in the regulation and balance of essential nutrients, contributing to the overall health of plants and improving their ability to resist diseases. It is also used in the agricultural industry to combat various fungal diseases that affect crops, providing an effective tool to improve the yield and quality of crops.",,,,,Hexanedioic acid,,,,,,,,
L-Alanine,L-Alanine,Galactaric Acid,"Galactaric acid is a compound derived from the oxidation of D-galactose, a type of simple sugar that is essential for living beings. This acid belongs to the category of acidic sugars due to the introduction of a carboxylic group into the galactose molecule, which modifies its properties and functions.

In plants, galactaric acid plays an important role in the modification of pectins, which are essential components of plant cell walls. These modifications help plants regulate their rigidity and permeability, directly influencing processes such as growth and defense against pathogens. In addition to its biological function, galactaric acid also has industrial applications; For example, it is used in the food industry as a potential additive due to its antioxidant properties, which can help improve the stability and shelf life of foods.",,,,,Hydracrylic acid,,,,,,,,
L-Valine,L-Valine,Galactinol,"Galactinol is a type of disaccharide, a sugar formed by the union of two simpler sugar molecules, found in many plants. This compound plays a crucial role in plant metabolism, especially in seeds, where it acts as a protective agent against desiccation, helping seeds retain their vitality during periods of drought or before germination. Additionally, galactinol serves as an important energy reserve that plants can mobilize at critical times for their growth and development, such as during germination.

The importance of galactinol in plants also extends to biotechnology and agriculture, where understanding its function could improve seed storage techniques and increase crop efficiency under adverse conditions. Its ability to protect and stabilize biological tissues also opens possibilities for its use in the food industry, potentially in the development of products more resistant to decomposition and aging during storage.",,,,,.beta.-Alanine,,,,,,,,
Ethylphosphonic acid,Ethylphosphonic acid,Gallic acid,"Gallic acid, formally known as 3,4,5-trihydroxybenzoic acid, is a natural organic compound widely distributed in the plant kingdom. It occurs both in free form and integrated into tannins, which are phenolic polymers found in various parts of plants such as leaves, fruits and bark. This acid is especially notable for its potent antioxidant activity, helping plants combat oxidative stress caused by environmental factors such as UV radiation and pollution.

In plants, gallic acid and related tannins play critical roles not only in defense against herbivores and pathogens, but also in the structural protection of plant tissues. Outside the botanical field, gallic acid has numerous applications: in the food industry, it is used as a natural preservative due to its antimicrobial and antioxidant properties; In medicine, it is studied for its potential health benefits, including reducing the risk of chronic diseases such as cancer and cardiovascular disease due to its ability to neutralize free radicals. In addition, it is a common ingredient in pharmaceutical and cosmetic products, taking advantage of its protective and stabilizing effect.",,,,,Lactic Acid,,,,,,,,
Octanoic acid,Octanoic acid,Glucopyranose,"Glucopyranose is a cyclic form of glucose, which is a type of simple sugar essential for energy in many living organisms. In this structure, the carbon atoms of glucose join together to form a ring, specifically a six-membered ring that includes an oxygen atom, which classifies it within the group of sugars known as pyranoses. This type of structure is common in carbohydrates and is crucial for their biological function.

In plants, glucopyranose not only serves as a vital energy source but is also a structural component in the formation of cellulose and starch, which are essential for cell wall construction and energy storage, respectively. Furthermore, due to its solubility and stability, glucopyranose has numerous applications in the food industry, where it is used as a sweetener and stabilizer in products such as beverages, sweets and preserves. Its presence is vital in the metabolism of all living beings, facilitating fundamental energetic and structural processes.",,,,,Caffeic acid,,,,,,,,
L-Isoleucine,L-Isoleucine,Glyceric acid,"Glyceric acid is a chemical substance derived from glycerin, acting as an important intermediate in the glycolysis process, which is essential for the production of energy in cells through cellular respiration. During this process, glyceric acid participates in the transformation of glucose molecules, helping to break them down to release energy that cells use to perform vital functions.

This compound is soluble in water, which facilitates its mobility and function within biological systems. In addition to its role in glycolysis, glyceric acid can be synthesized in the laboratory through the reaction of glycerol with nitrous acid. Its solubility and reactivity make it useful in various biochemical and medical applications, including studies on cellular metabolism and as a component in pharmaceutical research.",,,,,lauric acid,,,,,,,,
L-Proline,L-Proline,Glycerol,"Glycerol, also known as glycerin, is an organic compound derived primarily from triglycerides, which are the fats and oils common in many foods and in the human body. This viscous, sweet liquid is also produced as a byproduct in soap making and through the fermentation of sugars. Due to its ability to absorb water from the environment (hygroscopic property), glycerol is widely valued in various industries.

In the plant world, glycerol plays a role in osmotic regulation, helping plants manage drought and salinity stress by adjusting the amount of water within their cells. In industrial and commercial applications, it is used as a solvent and humectant in pharmaceuticals and cosmetics, providing softness and lubrication, and as a sweetener in foods and beverages. Its versatility also extends to use in the production of nitroglycerin, which is a key component in the manufacture of explosives and in medicine as a treatment for heart disease.",,,,,L-Glutamic acid,,,,,,,,
Butanedioic acid,Butanedioic acid,Glycerol monostearate,"Glycerol monostearate is a type of white wax with a melting point between 56 and 58 degrees Celsius. This compound is a natural emulsifier, obtained from the combination of fatty acids and glycerol, which are key components of cell membranes. The structure of this compound allows it to be soluble in hot alcohol but insoluble in water, which gives it unique properties that are widely used in various applications.

In plants, glycerol monostearate contributes to the stability and functionality of cell membranes, helping to regulate the transport of substances and protecting cells against environmental stress. In industry, this compound is valued for its ability to stabilize emulsions, making it a common ingredient in food, cosmetic and pharmaceutical products. For example, in the production of creams and lotions, it improves consistency and increases product shelf life by keeping water and oil components separate. Its use in foods focuses on improving texture and facilitating the mixing of ingredients that normally do not combine easily, such as oil and water.",,,,,Glycolic acid,,,,,,,,
Glyceric acid,Glyceric acid,Glyceryl-glycoside ether,"Glyceryl glucoside, also called glucoglycerol, is a natural active ingredient that stimulates cells. Derived from sustainable and palm-free resources, it was obtained through green chemistry using natural sugar and glycerol. Easily biodegradable and with an excellent safety profile, it is extremely well tolerated by the skin and perfectly suitable for sensitive skin. Originally found in desert plants, glyceryl glucoside is produced and accumulated by plants during the dry season in response to external stress due to extreme dehydration conditions. It acts as a stress-protective molecule, stimulates and enhances the cellular functions of plants, inhibits water loss and allows them to resist and survive in hostile environments.

Glyceryl glucoside is used in cosmetics as a powerful anti-aging and cell-stimulating agent. It demonstrates long-lasting hydration and water retention capacity and can offer an effective treatment for dehydrated, stressed and reactive skin, reducing symptoms of redness, tightness and sunburn.",,,,,Malic acid,,,,,,,,
Serine,Serine,Glycine,"Glycine is a non-essential amino acid, meaning the human body can produce it without needing to obtain it directly from the diet. It is the simplest and smallest amino acid, standing out for not having an asymmetric carbon in its structure, unlike most other amino acids. This particularity gives it great flexibility in the biological functions it performs.

In plants and animals, glycine is a fundamental component for protein synthesis, playing a crucial role in building and repairing tissues. Additionally, it is involved in the production of other vital chemicals, such as glutathione, a powerful antioxidant. In the industrial field, due to its naturally sweet taste, glycine is used as an additive in foods and beverages to improve flavor and in medicines to mask bitter flavors. Its simplicity and versatility make glycine an important amino acid both in biology and in various commercial applications.",,,,,Methylsuccinic acid,,,,,,,,
L-Threonine,L-Threonine,Glycolic acid,"Glycolic acid (or hydroxyacetic acid; chemical formula HOCH2CO2H) is a colorless, odorless and hygroscopic crystalline solid, highly soluble in water. It is used in various skin-care products. Glycolic acid is widespread in nature. A glycolate (sometimes spelled ""glycollate"") is a salt or ester of glycolic acid.",,,,,Myristic acid,,,,,,,,
Malic acid,Malic acid,Gulonic acid,"Gulonic acid is a type of sugar acid that plays a crucial role in plant metabolism, specifically in the synthesis of vitamin C (ascorbic acid). This compound is an important intermediary in the metabolic pathway that transforms glucose into vitamin C, an essential nutrient that plants use not only to combat oxidative stress but also to strengthen their immune system and promote healthy growth.

In plants, the production of vitamin C from gulonic acid is vital for maintaining good health and resistance against diseases and adverse environmental conditions. Outside the plant context, gulonic acid and its derivatives have potential applications in the food and pharmaceutical industries, where they could be used to enrich foods with vitamin C or in the synthesis of nutritional supplements. This feature underscores the importance of understanding and manipulating these metabolic processes both for improving plant health and for practical applications in human nutrition and medicine.",,,,,Oxalic acid,,,,,,,,
Salicylic acid,Salicylic acid,Heptadecane,"Heptadecane is a saturated hydrocarbon consisting of a linear chain of 17 carbon atoms. It occurs naturally as a solid that melts at around 22°C, indicating its transition from solid to liquid at a relatively low temperature. This compound is found in the waxes that coat some plants, such as the rose, where it plays a crucial role in protecting the plant against dehydration and other adverse environmental factors.

The presence of heptadecane in plant waxes helps form a barrier that minimizes water loss, protects against pathogen invasion, and reduces damage caused by ultraviolet radiation and other environmental stresses. In addition to its biological function in plants, heptadecane has practical applications, including its use in the cosmetics industry and in candle manufacturing, where its properties as wax components are highly valued for their melting point and consistency.",,,,,Palmitic Acid,,,,,,,,
4-Aminobutyric acid,4-Aminobutyric acid,Heptadecanoic acid,"Hexanedioic acid, also known as adipic acid, is characterized by having a six-carbon structure with two carboxyl groups at each end. It is not found naturally in large quantities in plants, but it is essential in industry, mainly in the production of nylon and other polymers, where it is used as a monomer to create polyamides and plastics. In addition, it is used as an additive in the food industry to regulate the acidity of foods and drinks.

Given its industrial use, adipic acid is valued for its ability to improve durability and flexibility properties in synthetic materials, in addition to its function as a pH regulator in the food sector. Although its natural presence is limited, its synthesis and applications have had a significant impact in various technological and commercial areas.",,,,,palmitoleic acid,,,,,,,,
L-Phenylalanine,L-Phenylalanine,Hexadecane,"Hexadecane, also known as cetane, is a saturated hydrocarbon with a straight chain of 16 carbon atoms. This compound occurs as a solid at room temperature and is found naturally in biological sources such as rose petals and pepper, where it contributes to the composition of waxes and essential oils that protect plants and modify their interactions with the environment.

In practical terms, cetane is particularly important in the fuel industry due to its ability to easily self-ignite when mixed with air and subjected to compression. This property gives it a cetane index of 100, which is used as a standard reference to evaluate the ignition quality of diesel fuels. A higher cetane number in a diesel fuel indicates faster ignition ability and more efficient combustion, which is crucial for the design of more efficient and cleaner diesel engines.",,,,,Pentanedioic acid,,,,,,,,
L-(-)-Arabitol,L-(-)-Arabitol,Homoserine,"Homoserine is a non-protein amino acid that plays a crucial role in plant metabolism, particularly in legumes such as peas, where it is found in significant concentrations. This amino acid acts as an intermediate in the biosynthesis of other essential amino acids, including methionine, threonine and isoleucine, which are vital for plant growth and development.

Homoserine is essential because it participates in multiple metabolic pathways that contribute to the synthesis of proteins and other important molecules. In agriculture and biotechnology, understanding and manipulating homoserine biosynthesis can help improve plant nutrition and stress resistance, which has direct applications in increasing agricultural efficiency and producing more robust crops. Additionally, studies on homoserine and its metabolic pathway may offer insights for the development of herbicides or other agricultural control agents.",,,,,Petroselinic acid,,,,,,,,
D-Fructose,D-Fructose,Hydroxylamine,"Hydroxylamine is a chemical compound whose molecular formula is NH2OH, recognized for its functionality as a strong reducing agent in various chemical reactions. In the context of plant and soil metabolism, hydroxylamine plays a crucial role as one of the first intermediates in ammonia assimilation, a vital process for the conversion of atmospheric nitrogen into forms that plants can use to synthesize amino acids and other essential molecules.

This compound has significant applications not only in agriculture, where its nitrogen management directly impacts plant nutrition and soil fertility, but also in industries such as pharmaceuticals and polymer production, where it is used in the synthesis of certain medications. and materials. Its versatility and reactivity make hydroxylamine a key element in advanced pollutant reduction technologies and in scientific research for the development of new substances and treatments.",,,,,Phosphoric acid,,,,,,,,
1-hexadecanol,1-hexadecanol,L-(-)-Arabitol,"L-(-)-Arabitol is a type of sugar alcohol, known as polyalcohol, which is obtained by reducing arabinose, a type of simple sugar. This compound is characterized by its sweet flavor, which makes it a popular sweetener in the food industry, especially valued by those looking for low-calorie or healthier alternatives to traditional sugars.

In plant metabolism, L-(-)-Arabitol plays a role in the metabolic pathway of pentose sugars, which are crucial for the conversion of biomass into energy. In addition to its use in foods, this polyalcohol has applications in the pharmaceutical industry, where it is used as an excipient in the formulation of medications, helping to improve the stability and administration of drugs. Its ability to retain moisture also makes it useful in cosmetic products, such as creams and lotions, where it contributes to skin hydration.",,,,,Pipecolic acid,,,,,,,,
palmitoleic acid,palmitoleic acid,L-5-Oxoproline,"L-5-Oxoproline, also known as pyroglutamic acid, is an amino acid derived from glutamic acid, a crucial substance in the metabolism of plants and animals. This compound is formed when glutamic acid is cyclized to create a lactam structure, a type of organic ring. Although not one of the amino acids genetically encoded for protein synthesis, pyroglutamic acid is a common component in many proteins, where it contributes to their structural stability.

In practical applications, the sodium salt of L-5-Oxoproline is appreciated for its moisturizing properties, being used in personal care products to help maintain skin hydration. This property makes it valuable in formulations of creams, lotions and other cosmetics where it seeks to improve moisture retention in the skin, offering benefits of softness and elasticity. Additionally, pyroglutamic acid plays a role in several biochemical processes related to energy production and the synthesis of other important biological molecules.",,,,,Propanoic acid,,,,,,,,
"Oleic, (E)-","Oleic, (E)-",Lactic Acid,"Lactic acid is an organic acid that plays a crucial role in various metabolic processes, especially in lactic fermentation, a process that not only occurs in plants but also in human muscles and in the production of various foods. In plants, this substance can result from low oxygen conditions and acts in the regulation of internal processes. In humans, during intense physical exercise when oxygen is scarce, the body converts glycogen into energy, producing lactic acid as a byproduct, which contributes to muscle fatigue.

In addition to its biological role, lactic acid has important industrial and commercial applications. It is widely used as a preservative and acidulant in the food industry, where it improves the flavor and safety of foods by inhibiting the growth of pathogenic bacteria. It is also a popular ingredient in skin care products for its moisturizing and exfoliating properties, helping to improve skin texture and hydration.",,,,,Protocatechoic acid,,,,,,,,
DocosanoicAcid,DocosanoicAcid,Lactose,"Lactose is a type of natural sugar found primarily in the milk of all mammals, including humans, cows, and goats. This disaccharide is made up of two simpler sugars: glucose and galactose. Lactose is essential for young mammals, as it is one of the main sources of energy and contributes to proper development during the first stages of life.

In humans, lactose is digested by the enzyme lactase, which breaks it down into glucose and galactose for absorption in the intestine. However, some people lack sufficient lactase, a condition known as lactose intolerance, which can lead to adverse digestive symptoms when consuming dairy products. In addition to its biological role, lactose is widely used in the pharmaceutical industry as an excipient in the manufacture of tablets and capsules, helping to form the structure of the medication and facilitating the absorption of the active ingredients. It is also used in the food industry as a stabilizer and to improve the texture of processed dairy products.

",,,,,Pyruvic Acid,,,,,,,,
alphatocopherol,alphatocopherol,L-Alanine,"L-alanine is one of the 20 essential amino acids that participate in the construction of proteins in all living beings. This amino acid is not only abundant in proteins, where it occupies approximately 7.8% of their composition, but it also plays a vital role in the metabolic processes of both plants and animals. In plants, L-alanine is found in cell walls and is involved in the synthesis of some specific peptide proteins, which are essential for plant development and response to environmental stimuli.

In humans and other animals, L-alanine is crucial not only in protein synthesis, but also in glucose metabolism. During intense exercise, L-alanine is released from the muscles and converted to glucose in the liver, a process that helps maintain energy levels. Furthermore, due to its ability to be transformed into glucose quickly, L-alanine is important in clinical contexts, especially in the treatment of liver diseases and in nutritional therapies for patients requiring intravenous feeding.",,,,,Heptadecanoic acid,,,,,,,,
Glycolic acid,Glycolic acid,lauric acid,"Lauric acid is a saturated fatty acid found predominantly in coconut oil and to a lesser extent in palm oil. This fatty acid is known for its antimicrobial properties, making it valuable in both the food industry and cosmetics and medicine. In foods, lauric acid helps prevent bacterial spoilage, thereby extending the shelf life of products. In cosmetics, it is used for its ability to hydrate and protect the skin, contributing to the manufacture of soaps and creams that nourish the skin while fighting bacteria and other pathogens. Its versatility makes it an essential component in many formulations that seek to take advantage of its healthy and protective benefits.",,,,,quinic acid(S),,,,,,,,
N-Methyl-L-proline,N-Methyl-L-proline,L-Glutamic acid,"Glutamic acid is an essential amino acid that plays a crucial role in the formation of proteins in both plants and animals. In plants, glutamic acid is essential for nitrogen metabolism, helping the synthesis and transport of other essential amino acids. In addition, it acts as a signaler in the response of plants to environmental conditions and stressors, facilitating adaptation and growth. In human nutrition, glutamic acid is valued for its role as a neurotransmitter in the brain, where it facilitates the transmission of signals between nerve cells and improves cognitive functions and memory. It is also used as a flavor enhancer in foods, known as monosodium glutamate (MSG), which enhances the umami flavor, the fifth basic flavor.",,,,,Salicylic acid,,,,,,,,
Meso-Erythritol,Meso-Erythritol,L-Isoleucine,"L-isoleucine is an essential amino acid, meaning it cannot be synthesized by the human body and must be obtained through the diet. This amino acid is crucial for protein synthesis and plays an important role in tissue growth and repair. In plants, L-isoleucine is involved in several metabolic processes, including pest defense and stress response, helping the plant adapt to adverse conditions. In addition, it participates in the regulation of developmental processes such as chromosome arrangement during cell division. Due to its structure, it is an optical isomer of leucine, another essential amino acid, which means that they share the same molecular formula but with a different arrangement of their atoms, affecting their function and role in organisms.",,,,,Shikimic acid,,,,,,,,
3-Hydroxybenzoic acid,3-Hydroxybenzoic acid,L-Leucine,"L-leucine is an essential amino acid, which means that it is vital for human health but cannot be produced by the body, needing to be obtained through diet. This amino acid plays a crucial role in protein synthesis and regulating the growth and repair of muscle tissues. In plants, L-leucine not only contributes to general growth processes, but also actively participates in defense metabolism. This amino acid acts as a signal in the response of plants to environmental stress factors and pathogen attacks, helping to activate various chemical defenses that protect the plant. Its presence is essential both in the human diet and in the health and resilience of plants.",,,,,Stearic acid,,,,,,,,
Ecgonine,Ecgonine,D-Fructose,"D-fructose, better known as fructose, is a monosaccharide found naturally in fruits, vegetables and honey. It is characterized by being extremely sweet, surpassing in sweetness glucose and sucrose, common table sugar. In nature, fructose plays a vital role in the formation of sucrose, joining with a glucose molecule to form this disaccharide, which is an important source of quick energy for both plants and animals.

In humans, fructose is primarily metabolized in the liver, where it becomes a crucial source of energy. However, excessive consumption of fructose, especially in the form of high-fructose syrup in processed foods, has been linked to health problems such as obesity, insulin resistance and heart disease. Despite these risks, when consumed in moderation and primarily through natural sources such as fruits, fructose can be part of a healthy diet, offering not only energy but also essential nutrients, fiber and antioxidants that contribute to overall well-being.",,,,,Tyrosine,,,,,,,,
2-Keto-l-gluconic acid,2-Keto-l-gluconic acid,L-Lysine,"L-lysine is an essential amino acid for humans, meaning it must be obtained through the diet because the body cannot synthesize it. This amino acid is hydrophilic, which facilitates its solubility in water, and has a basic character that contributes to its active participation in the transport and storage of nitrogen in organisms. In plants, L-lysine is synthesized from aspartic acid, a fundamental process for protein production and response to environmental stress. Additionally, L-lysine is involved in the formation of cadaverine through bacterial degradation, a process that occurs during tissue breakdown. This amino acid is key not only in the nutrition and growth of plants, but also in the food and pharmaceutical industry, where it is used as a nutritional supplement and in the production of enzymes and other biomaterials.",,,,,Xylonic acid,,,,,,,,
Tetradecane,Tetradecane,L-Norleucine,"L-Norleucine is an amino acid that, although it is an isomer of leucine, is not incorporated into proteins during their synthesis. However, it plays a crucial role in plant metabolism, especially in processes related to growth and nitrogen assimilation. Being hydrophilic, that is, soluble in water, L-Norleucine facilitates various biochemical reactions in the aqueous environment of plant cells. This amino acid is of interest in agricultural and botanical research due to its impact on plant nutrition and crop optimization. Their study is also relevant to understanding how plants respond and adapt to different environmental conditions and nutrient availability.",,,,,"13-Octadecenoic acid, (E)-",,,,,,,,
D-Allose,D-Allose,L-Phenylalanine,"L-phenylalanine is an essential amino acid. In plants, it plays a crucial role as a precursor in the synthesis of phenylpropanoids, which are vital organic compounds involved in the formation of structures such as lignin. Lignin is essential to provide structural rigidity and resistance in plant cell walls, in addition to participating in their defense against pathogens. The importance of L-phenylalanine in plant biochemistry and its impact on the resistance and health of plants make it a focus of interest in both botanical research and agriculture, where its study can help improve resistance and quality. of the crops.",,,,,Phytol,,,,,,,,
2-hexenoic acid,2-hexenoic acid,L-Proline,"L-proline is a non-essential amino acid that plays a key role in the metabolism of plants and animals. In plants, L-proline is crucial for the stress response, especially in drought and salinity conditions, where it acts as an osmoprotectant helping cells maintain their water balance. In addition, it participates in the synthesis of proteins important for the development of plant tissues.

In humans and other animals, L-proline is essential for the synthesis of collagen, an essential component of cartilage, skin, and connective tissue. This makes it vital for tissue repair, wound healing, and joint health. Its ability to stabilize collagen structure directly influences the elasticity and firmness of the skin, making it a popular ingredient in dietary supplements and cosmetic products aimed at improving skin and joint health.",,,,,Iminodiacetic Acid,,,,,,,,
Myo-Inositol,Myo-Inositol,Hydracrylic acid,"Acrylic acid, also known as propenoic acid, is an organic compound characterized by being a clear, colorless liquid with a pungent odor. Its structure contains a carboxyl group linked to a carbon-carbon double bond, making it highly reactive and useful in the chemical industry. At an industrial level, acrylic acid is essential in the manufacture of polymers and copolymers, particularly in the production of acrylic resins and plastics, paints, adhesives, and textiles due to its ability to form stable and durable structures when polymerized.

In the biological context, although it is not a predominant component of metabolism in plants, its relevance in technological applications and its presence in industrial environments can affect natural ecosystems. In agriculture, polymers derived from acrylic acid are used to improve water and nutrient efficiency in agricultural soils by creating controlled release substrates. This demonstrates how a primarily industrial chemical compound can have indirect applications in plant biology and environmental management.",,,,,"2,3,4-Trihydroxybutyric acid",,,,,,,,
alpha-Linolenic acid,alpha-Linolenic acid,L-Threonine,"L-threonine is an essential amino acid of polar nature. This amino acid is formed from aspartic acid in plants, and is abundant in foods such as lentils and fish meat. In plants, L-threonine plays a crucial role in protein synthesis and general metabolism, helping to regulate growth and development. In addition to its importance in human nutrition, L-threonine is vital for maintaining the health and proper function of the immune system and digestive system in animals. In industry, it is used as a supplement in animal feed to promote more efficient and healthy growth. Its ability to be converted into other important amino acids such as methionine and lysine expands its role in metabolism and tissue repair, making L-threonine an essential component in multiple biological processes in both plants and animals.",,,,,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",,,,,,,,
4-hydroxybenzoic acid,4-hydroxybenzoic acid,Xylitol,"Xylitol, also known as birch sugar, is a polyalcohol, or sugar alcohol, obtained by the reduction of the sugar xylose through catalytic hydrogenation. Xylose is obtained commercially by hydrolysis of the hemicellulose of birch wood.",,,,,,,,,,,,,
Benzoylecgonine,Benzoylecgonine,L-Valine,"L-valine is an essential amino acid that cannot be produced by the human body and therefore must be obtained through the diet. Plants synthesize it from pyruvic acid, a key compound in carbohydrate metabolism. L-valine is present in a variety of foods, including bananas, berries and chocolate, and was initially isolated from casein, a milk protein.

This amino acid plays a critical role in supporting muscle tissue in animals, including humans, aiding in muscle repair and growth. Its importance extends to energy metabolism and the regulation of blood sugar levels. In agriculture and animal nutrition, L-valine is often added to feed to promote healthy and efficient growth of livestock. Its presence is vital for maintaining proper nitrogen balance in the body, which is essential for life-sustaining metabolic processes.",,,,,,,,,,,,,
trans-Cinnamoylcocaine,trans-Cinnamoylcocaine,Malic acid,"Malic acid is an organic acid that plays a crucial role in plant metabolism, particularly in the Krebs cycle, where it facilitates energy production at the cellular level. It is famous for being one of the main contributors to the acidic flavor of apples, although it is also found in a wide variety of fruits and vegetables. In addition to its natural presence, malic acid is widely used in the food industry as an additive to adjust the acidity of foods and beverages, thus improving their flavor and stability. It is also valued in cosmetics for its exfoliating properties, helping to remove dead skin cells and promoting a healthier, more rejuvenated appearance.",,,,,,,,,,,,,
Heptadecane,Heptadecane,Meso-Erythritol,"Meso-erythritol is a polyalcohol frequently used as a sugar substitute, appreciated for its sweetness and low calorie content. It originates naturally through the catabolism of glucose in some biological processes. In industry, it is mainly produced by fermenting glucose using a special yeast called Moniliella pollinis. This sweetener is popular in diet foods and drinks because it does not raise blood sugar levels like other sugars do, making it ideal for diabetics and those looking for low-glycemic options. Additionally, it is resistant to tooth decay, which contributes to its use in oral hygiene products such as toothpastes and mouthwashes.
",,,,,,,,,,,,,
"9-Octadecenamide, (Z)-","9-Octadecenamide, (Z)-",Methyl Palmitate,"Methyl palmitate is a methyl ester derived from palmitic acid, a saturated fatty acid containing 16 carbon atoms. It is a frequent component in cell membranes, where it contributes to the structure and stability of cells. In addition to its biological presence, methyl palmitate has practical applications in industry, including its use in the manufacture of cosmetics and personal care products. This compound is also used in the chemical industry as an emollient and softening agent, and in some cases, as an organic solvent due to its non-polar properties..",,,,,,,,,,,,,
2-Aminobutanoic acid,2-Aminobutanoic acid,Methyl Stearate,"Methyl stearate is an ester formed from stearic acid, a saturated fatty acid, and methyl alcohol. Although similar in structure to methyl palmitate, it differs in the length of its carbon chain, which influences its physical properties and function. This compound is crucial in the composition and structure of cell membranes, where it helps maintain membrane integrity and fluidity. In industry, methyl stearate is widely used in the production of soaps, cosmetics, and as a lubricant due to its ability to form a soft, protective film, making it useful in various formulations of personal care and other products. industrial uses.",,,,,,,,,,,,,
2-Propenoic acid,2-Propenoic acid,Methylsuccinic acid,"Methylsuccinic acid is a dicarboxylic acid, a variant of succinic acid in which one of the hydrogens has been replaced by a methyl group. This modification gives it unique chemical properties, including greater solubility in certain solvents compared to its unmethylated precursor. In plant metabolism, succinates, including methylsuccinic acid, play a role in the citric acid cycle, which is essential for cellular energy production. Industrially, this acid is used in the formulation of aerosols and other chemicals due to its ability to act as a solvent and stabilizer. In nature, it contributes to various biochemical processes in plants and microorganisms, helping to regulate energy balance and response to environmental conditions.",,,,,,,,,,,,,
